"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 00:00","2023","10","01","00:00","5.5","","3.1","","85","","0.0","","24","","2","","","","94.84","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 01:00","2023","10","01","01:00","5.3","","2.6","","83","","0.0","","","","0","","","","94.82","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 02:00","2023","10","01","02:00","5.0","","2.5","","84","","0.0","","25","","2","","","","94.83","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 03:00","2023","10","01","03:00","4.6","","2.9","","89","","0.0","","0","","1","","","","94.77","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 04:00","2023","10","01","04:00","5.2","","2.3","","82","","0.0","","19","","7","","","","94.73","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 05:00","2023","10","01","05:00","1.7","","-0.4","","86","","0.0","","17","","5","","","","94.69","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 06:00","2023","10","01","06:00","1.9","","0.0","","87","","0.0","","17","","8","","","","94.67","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 07:00","2023","10","01","07:00","0.8","","-0.6","","91","","0.0","","19","","5","","","","94.66","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 08:00","2023","10","01","08:00","4.1","","1.5","","83","","0.0","","21","","6","","","","94.62","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 09:00","2023","10","01","09:00","6.7","","2.8","","76","","0.0","","21","","8","","","","94.57","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 10:00","2023","10","01","10:00","8.5","","2.9","","68","","0.0","","20","","14","","","","94.52","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 11:00","2023","10","01","11:00","10.2","","2.4","","58","","0.0","","21","","13","","","","94.46","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 12:00","2023","10","01","12:00","11.0","","3.0","","58","","0.0","","21","","15","","","","94.37","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 13:00","2023","10","01","13:00","11.8","","2.4","","53","","0.0","","21","","16","","","","94.31","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 14:00","2023","10","01","14:00","12.7","","3.1","","52","","0.0","","17","","16","","","","94.20","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 15:00","2023","10","01","15:00","13.1","","3.6","","53","","0.0","","18","","15","","","","94.12","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 16:00","2023","10","01","16:00","13.1","","4.2","","55","","0.0","","19","","17","","","","94.08","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 17:00","2023","10","01","17:00","12.2","","4.5","","59","","0.0","","18","","13","","","","94.00","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 18:00","2023","10","01","18:00","9.5","","4.5","","71","","0.0","","18","","11","","","","93.96","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 19:00","2023","10","01","19:00","8.6","","4.7","","77","","0.0","","16","","13","","","","93.88","","","","","","NA"
